courier_id,wave_index,tracking_id,courier_wave_start_lng,courier_wave_start_lat,action_type,expect_time
118782929,3,2100076029515237014,121.562874,39.178064,PICKUP,1583033060
118782929,3,2100076031782684247,121.562874,39.178064,PICKUP,1583033370
118782929,3,2100076029515237014,121.562874,39.178064,DELIVERY,0
118782929,3,2100076025531532726,121.562874,39.178064,DELIVERY,0
118782929,3,2100076031782684247,121.562874,39.178064,DELIVERY,0
118782929,3,2100076025531532726,121.562874,39.178064,PICKUP,0
10748334,1,2100076041263482192,121.742729,39.335507,PICKUP,1583035519
10748334,1,2100076038883181895,121.742729,39.335507,PICKUP,1583036302
10748334,1,2100076042346464424,121.742729,39.335507,PICKUP,1583036307
10748334,1,2100076040854078632,121.742729,39.335507,PICKUP,1583036309
10748334,1,2100076038883181895,121.742729,39.335507,DELIVERY,0
10748334,1,2100076042346464424,121.742729,39.335507,DELIVERY,0
10748334,1,2100076040854078632,121.742729,39.335507,DELIVERY,0
10748334,1,2100076041263482192,121.742729,39.335507,DELIVERY,0
118009457,1,2100076023140975665,121.574905,39.265607,PICKUP,1583030915
118009457,1,2100076028610709413,121.574905,39.265607,PICKUP,1583031916
118009457,1,2100076029613016433,121.574905,39.265607,PICKUP,1583032032
118009457,1,2100076023140975665,121.574905,39.265607,DELIVERY,1583032739
118009457,1,2100076029613016433,121.574905,39.265607,DELIVERY,1583032836
118009457,1,2100076028610709413,121.574905,39.265607,DELIVERY,1583033487
118009457,1,2100076033121552354,121.574905,39.265607,PICKUP,1583033910
118009457,1,2100076033121552354,121.574905,39.265607,DELIVERY,0
118009457,1,2100076034122188637,121.574905,39.265607,DELIVERY,0
118009457,1,2100076030953981721,121.574905,39.265607,PICKUP,0
118009457,1,2100076035426289552,121.574905,39.265607,PICKUP,0
118009457,1,2100076035426289552,121.574905,39.265607,DELIVERY,0
118009457,1,2100076030953981721,121.574905,39.265607,DELIVERY,0
118009457,1,2100076034122188637,121.574905,39.265607,PICKUP,0
118924601,1,2100076034459338108,121.959115,39.592313,PICKUP,1583033747
118924601,1,2100076032246122365,121.959115,39.592313,PICKUP,1583033753
118924601,1,2100076034530673991,121.959115,39.592313,PICKUP,0
118924601,1,2100076032246122365,121.959115,39.592313,DELIVERY,0
