courier_id,level,speed,max_load
102054458,2,5.285011941636374,7
111227890,3,5.691442109847977,10
112040778,2,5.769122985694372,5
119149737,3,4.234246870622532,8
121572297,3,5.900802639257757,6
102449370,2,5.53201706900828,9
117779017,3,5.962811288164659,6
118533225,3,5.2297938690626795,10
102010482,3,6.46411570757887,8
102106834,3,4.948122777706701,9
10748878,3,5.942771092817359,8
10344320,2,4.796613633212124,6
10364589,3,5.651703247907956,8
10516487,2,5.548874120796296,10
106973146,2,5.336544803139239,7
113485593,2,4.133498287923119,9
118877049,2,5.304589942451318,6
122079457,2,5.193991710050293,5
10215664,2,5.569235612911241,9
112665362,1,5.507691341033597,11
116024137,2,6.017835710111235,4
117055625,3,5.412235268618151,7
118894089,3,5.046831019454602,9
125119169,3,4.991202368648685,7
107699026,3,5.349646634003745,12
116795681,1,5.61598203757257,3
100069773,3,5.671003149319964,10
106108922,2,5.515287048870661,10
118559025,3,6.171851471839177,9
120948521,3,5.2645544867424325,10
10219599,3,5.578618482978676,8
10664091,2,5.496907159494552,3
10183941,3,5.3393084105133495,9
117916001,3,5.759491269735753,9
120625801,3,4.505024773678855,9
10126649,1,5.683399461460377,3
102505146,3,6.4278170795680145,12
10289729,1,5.507413819113718,10
111025498,3,5.28644713762718,10
118266025,3,5.7018019830637465,10
10021791,3,5.676862396664581,10
102358466,3,5.847275175595054,8
10572143,2,5.729973838091258,9
114244561,2,5.502081111916005,7
116050601,2,5.436329204590274,3
118760649,3,5.2588370938268785,8
123948441,2,5.565342684976254,8
10199051,3,4.897530952887342,11
10213217,3,5.462011250048397,11
10361752,3,5.789549622616365,9
118916329,3,4.457953841238524,8
119531657,3,5.472615722493141,7
103216506,3,5.3749504057466035,8
10572923,2,5.232046435929873,9
112025322,2,4.270156936104238,7
117031321,2,5.268735298982934,7
10576831,2,5.776882802471185,11
114251905,2,5.299223394559263,11
116288617,3,5.443505258892727,8
10188077,3,5.484815652991007,10
102503626,3,4.327596592540244,11
10489414,2,6.0474800423943815,7
10770943,3,5.219249891386821,10
117015105,2,5.655069365152924,8
118791265,2,5.626653035578588,4
103258066,2,5.318407095193561,7
10804247,3,5.716968077742687,10
110105858,3,5.076702223520495,9
113078386,2,5.589629597158775,7
10232315,3,6.026485424240822,13
10626566,3,5.672267196327785,10
10703923,2,5.283921781279461,9
117042865,3,6.765367969736717,6
102697066,3,6.396651486919139,9
10365330,3,5.760657945330561,8
118304897,3,6.053117000982171,9
118332065,2,6.219231313840219,7
124001625,3,5.149529966773195,10
100166267,3,5.468274701397971,10
10102738,3,5.704536249341809,8
105676642,3,5.47031458787019,10
10766650,3,5.679569580045914,10
123756545,1,5.136522160419504,3
10469547,2,5.660888241842317,5
113666817,3,5.850496187518544,10
118690377,3,5.729873516473555,10
120434978,3,5.486868731501986,11
10294745,3,6.250895443436478,9
10749684,2,5.927495758550697,6
117013553,3,5.51574305382695,9
118970753,3,6.142762185708487,7
119233153,3,5.28085466920439,7
103191818,3,5.704004295041498,9
10413087,3,6.155250133301931,8
10311341,3,5.4369252065601525,10
10731743,2,5.7376325484149415,3
119058345,2,6.0771234316862595,6
124686817,2,4.837547756803913,7
10232969,3,4.5101585198200995,8
10770945,3,5.694111191772796,9
118066377,3,6.172795112704359,12
120549513,3,5.908093069306544,10
120817089,3,5.587667419360018,10
121658489,3,5.223661569425861,10
122060865,3,5.441094021496659,9
118308465,3,5.326534682544937,7
10183602,3,6.554207873666903,10
102688330,2,5.9972871564776105,8
118797201,3,5.45240559722843,8
10334732,3,5.495928874963842,5
118475913,3,5.574128602423932,11
119918177,2,5.161795937907246,8
10513697,3,5.832827063206702,9
10656566,3,5.113350861286924,10
10711180,3,6.311800911608817,8
107672506,1,5.169879132019956,6
10788423,3,5.615047487987812,49
117021681,3,5.930070910975722,10
117025081,3,5.497846707565152,7
117672601,3,5.876638691368387,8
118667561,3,6.202492727180689,11
101915922,3,6.559283042908234,9
10697887,3,5.460484857553535,11
10719665,3,6.290296734499714,7
10768209,3,5.982139134127813,12
109710658,2,6.5076196009752065,3
113793937,3,5.319531440263881,10
117115569,2,5.4732738168597335,4
118787761,3,5.3693882107921125,8
10618353,3,5.191964881049836,9
10642060,2,5.453674401085676,3
123810001,3,5.428691702145311,8
102333794,2,6.054740168732875,7
117070713,3,6.045543272112401,7
118662905,3,5.703695614971243,10
111356426,3,6.211250334479033,6
121781761,3,5.664295415799992,9
102952578,3,5.666702435518745,8
10638398,3,5.530391780516043,8
113977305,3,5.580038283494967,11
118811881,3,5.186378569312456,10
124682649,3,6.1568822263932,11
10429491,3,5.774403137496439,12
10742004,3,5.341396131379691,9
10748334,2,4.138389974959456,8
118916297,2,5.780125651637759,9
122011449,3,5.813472826844226,9
124079177,1,5.5485162382699285,3
103155394,3,4.990919879405102,8
10636336,3,4.229742349285547,11
116929025,2,5.668845264149493,6
106164450,3,4.936703678554865,11
10797771,3,5.59634679729684,9
118248009,3,5.76508969825048,9
118805145,3,5.199165934389618,10
120130201,3,4.861215504490534,9
105974626,2,5.346067949130854,9
10659267,3,5.28702436199888,7
116502929,3,6.363500381664881,9
118890377,3,5.725948944069979,4
102748698,3,5.708332428725357,10
10748345,3,4.283643582881696,9
118818985,3,4.363304391846716,9
122939081,3,5.627733743087943,10
100240426,3,6.048002944463563,8
101437378,3,5.944418201525828,7
101992442,2,4.242019190418397,8
112607178,2,6.424989237309045,6
118686593,2,5.495323393296839,9
121657113,3,5.554734876839175,3
123459073,2,5.766752871948323,7
113186569,3,5.801131496579121,7
117031713,2,5.585444752398017,11
118804441,3,5.107488091773543,9
10525316,2,4.127542973711271,9
112516818,3,5.604099760540863,7
117068537,3,5.448008280644664,9
118558089,2,5.495920430076765,7
123307425,3,6.057272739624824,7
101269810,3,4.980698274394931,9
10773341,2,5.84214532095975,9
10544976,2,5.729759798840886,5
10608129,2,6.388390593197681,8
117073817,3,5.747954936310806,9
118917177,3,5.637670152666419,11
10123801,0,4.293289708836557,10
10312874,2,5.077458139914585,11
10728396,1,6.596573614418693,3
10788532,3,6.3504856424138945,10
116706233,3,5.87554592693933,11
119346545,3,5.033158526618236,8
10755989,2,5.583371462555476,8
10190566,2,4.2078810911011955,9
117010761,3,5.4522141209167945,6
117040001,3,5.881489379029502,10
10659886,3,5.822977188130725,9
111002490,2,5.440224840007125,9
119899809,3,6.171991371029555,9
120119785,3,5.281278554988967,8
123931449,3,5.270164668363883,9
100006950,2,5.670704325480361,6
10619173,2,5.542517822767366,9
10699173,3,5.5319383891468945,10
10799255,2,5.522489382290378,6
112525786,2,5.706152194719706,4
112996714,3,5.386790152181128,10
113147922,3,5.830860974389563,8
116274473,3,5.523026168456732,9
117428305,2,5.977428963521816,5
100532962,0,5.392406283271664,12
10290949,3,5.017395972185276,9
107080018,3,4.4311582513556,9
10793094,3,4.349950678794841,11
115777233,2,5.077450591038258,9
118800777,3,4.8420931675241174,8
118920073,2,6.264119886735433,7
10760325,2,6.040819182222813,9
114286177,3,5.528284370676877,8
120561993,3,5.583198213810833,9
121788009,2,5.517376801834462,10
100134611,3,5.499696380441388,9
100147671,3,5.248673134609611,10
10258665,2,5.809762340888888,8
10808308,2,5.708096891169947,5
113493697,3,5.243781798921319,10
114716833,2,5.594217561721806,9
117054313,3,5.673237203179149,10
102505842,3,5.26270753701364,10
105626402,3,6.05305049184735,6
110943594,2,5.640000024463312,8
118009457,3,5.502650374146336,8
122904977,3,5.407021994365679,10
101928706,1,5.627151679673776,3
10194307,2,4.511393955572726,10
10322363,3,5.112664659891831,9
114811105,3,5.878605565875955,10
116226473,2,5.70196450838998,7
118322641,2,6.287644392039097,8
118792841,3,5.837655045092612,9
10281321,3,5.538847128470489,9
10774871,3,5.392142975870732,9
117488401,3,5.465355126389997,9
10098837,2,5.580437361824031,15
10323658,3,5.471619490581737,11
114674785,2,5.414888054898191,3
116971497,3,6.023221859355995,6
118781177,3,5.034160550791463,12
123763529,2,5.813684022827719,8
10038649,3,5.37526794464267,10
10181667,3,5.182487906275176,7
102064138,2,5.289863511944955,9
10507382,0,6.407130992048234,11
10840157,0,5.985779436215001,13
116377137,3,5.277583667372177,10
10416004,3,5.265560238244343,8
113736177,3,4.847379549007213,11
118333873,3,6.037845276588795,9
118981753,3,4.2071786875501616,11
119684969,2,5.253858486808661,6
10081729,2,5.236013942224378,9
10401287,3,5.114505396647718,8
10542153,3,5.469054776919877,5
10633991,3,4.874790785756629,11
106503746,1,5.907316529233394,7
110963378,3,5.8240961159409,10
124124649,2,5.539858704525969,10
100002652,3,5.485095584926724,9
10665583,1,5.8227280248529665,5
110577578,2,5.456421459036337,3
114707833,3,5.50251957613422,8
117164105,2,4.449342375998213,7
10249075,3,5.670927128633793,9
10319201,3,5.663320252105074,8
10531988,3,5.659405698051514,7
10721724,3,5.370893246239909,9
113782457,3,4.387520954091586,11
117034905,2,5.918877759087248,7
118798041,3,5.539724119357352,6
102117082,2,5.447697196590427,6
10553059,3,4.228815393920466,9
111618922,3,5.463000448080919,8
102928218,2,5.603308457410793,5
10298963,3,5.40984688641899,9
10632815,3,4.1450919857675625,8
117025961,1,6.054615770956893,3
101579522,0,4.49913176321058,3
120551017,3,5.699737642318821,13
10416907,3,6.166070478292791,7
10697343,0,4.355799322489921,11
118918017,3,6.159292053558232,9
120270738,2,5.419551644331462,6
123314609,3,5.22066061355786,11
100023698,2,5.493291903827983,11
102086882,2,5.692025592089193,7
104583538,3,5.302000925992807,7
108061506,3,6.175747438702496,7
118789185,3,5.594672376080342,6
103185202,0,4.421486382372692,11
106359962,3,5.830146455402236,10
112022106,3,5.54831382392699,9
118814697,3,5.406536898238822,9
100429202,2,5.874321121327514,12
102002930,3,5.691715156685034,8
10537433,3,4.820273487064863,9
118798641,3,5.538596750134608,5
122077169,2,5.907294619140043,6
101550194,3,5.274010749032949,8
106581010,3,5.420477637290974,9
10788622,2,5.277947560564793,7
117074225,3,5.403561331137688,7
118789929,2,5.212023937550225,5
118823393,2,5.66519327869571,7
10335674,3,5.435362666082577,10
10350067,2,5.6506096836192325,9
10671986,3,5.853248988085099,10
109696338,2,5.51852517937294,6
117013905,3,5.617029357239294,9
118770561,2,6.1499107751153455,7
118778673,2,5.279962389148358,2
118888121,3,5.494785947821404,10
10645907,3,5.929139962141345,10
10782205,3,5.743414577157683,9
117160881,3,5.749784857390985,9
118180113,2,5.568255036323887,7
124259025,3,4.998511557376362,6
10100267,3,6.003997377801977,9
10120267,3,5.92851748586752,13
10696059,3,5.756440640876521,8
10757702,2,5.284898255018038,9
122093097,3,5.504564612238726,9
124274137,3,5.052318752040089,9
10303438,3,5.484082387880166,8
107130514,3,5.928890856709221,9
118781361,3,6.080003642734495,12
121955505,2,5.258182392321448,8
10784899,3,5.540698260870841,8
112905002,3,6.3356358362334655,12
115867977,3,6.452945695904611,8
105276506,3,5.524159161033162,9
110622026,3,5.526655975043706,9
117049569,3,6.176517428376463,8
125779698,3,5.527942490308541,10
10063192,3,5.459946227564104,8
101943338,1,6.318683140906182,3
101958914,3,5.221733919696225,3
10278301,3,5.508875770541026,8
10767994,2,5.39646323123982,6
112597122,3,5.319908096445507,11
118800849,3,5.101584959811738,6
10803665,3,5.131853460008927,10
112027066,3,5.512357260870316,12
115862809,2,5.929033686624206,7
119543617,2,5.387091807125334,3
10663375,3,6.31119645574674,9
