courier_id,wave_index,tracking_id,weather_grade,pick_lng,pick_lat,deliver_lng,deliver_lat,create_time,confirm_time,assigned_time,promise_deliver_time,estimate_pick_time,aoi_id,shop_id
100002543,1,2100076371859507018,正常天气,121.647214,39.135549,121.645464,39.141951,1583378481,1583378482,1583378511,1583380581,1583379202,fc44c7bebb717cc37a68a904b0c17139,02615f185581167cc68ba41af3d25ce6
100002543,1,2100076373949712350,正常天气,121.629701,39.139352,121.627374,39.142481,1583379052,1583379053,1583379110,1583380852,1583379953,48d4167a0f3bc10686a1ad20a8008c73,374469acda40b1b0b5d34ab4a58cb194
100002543,1,2100076375218653114,正常天气,121.631078,39.140265,121.635734,39.138321,1583379649,1583379650,1583379830,1583381869,1583380550,0cd6a40ae578078bc72e5310df41e918,a2774908faf773422183c2ad3337ef6c
100002543,1,2100076375036463070,正常天气,121.629701,39.139352,121.637294,39.134301,1583379667,1583379668,1583379830,1583381527,1583380568,0600bfe432c5290d2a5e53cc84c2f1b2,374469acda40b1b0b5d34ab4a58cb194
100002543,1,2100076374713697352,正常天气,121.630467,39.139444,121.635944,39.134101,1583379783,1583379784,1583379831,1583381583,1583380324,0600bfe432c5290d2a5e53cc84c2f1b2,657cfd65ce9ea601dc18282c1d337b15
100002543,1,2100076378715063368,正常天气,121.630467,39.139444,121.634154,39.133521,1583380052,1583380053,1583380070,1583382152,1583380593,9f3db32e96afb29338850172afa12a55,657cfd65ce9ea601dc18282c1d337b15
100002543,1,2100076378625378135,正常天气,121.629817,39.13463,121.678054,39.139681,1583380628,1583380629,1583380790,1583384229,1583381709,16bffbecf88ba38fbb6994ebfbd5dcd9,16dc8b31a84d0cb1f5e16c8a9080cae8
100002543,1,2100076381425468435,正常天气,121.642532,39.135511,121.668654,39.135781,1583380642,1583380643,1583380790,1583384243,1583381543,112db7c7bc4636cec8e196a7865b3735,2cf432d1f9012ba635fbacc47bf21288
100002543,1,2100076380833351511,正常天气,121.629817,39.13463,121.668164,39.138461,1583380752,1583380753,1583380790,1583384353,1583381833,693bcbd2f5efbb88de37c0a4b59e2e81,16dc8b31a84d0cb1f5e16c8a9080cae8
100023698,3,2100076411109901330,正常天气,121.374204,39.135311,121.366464,39.128771,1583399680,1583399681,1583399686,1583401481,1583400701,52594e708aec67d40ee1171b92e20872,69a3bc5c522766d3c3950322f11e08b3
100023698,3,2100076415582799069,正常天气,121.365191,39.120981,121.355494,39.119961,1583400875,1583400877,1583401066,1583402855,1583401537,f0335681abef01d27d2672367f836a8e,8ecce8f2ae95183525b7d2d556f6b758
100023698,3,2100076418688387022,正常天气,121.351605,39.122043,121.352824,39.120251,1583401524,1583401526,1583401670,1583404104,1583402786,f0335681abef01d27d2672367f836a8e,17cde16f2d5dd7689c064cfe6fa121e1
100023698,3,2100076420739925582,正常天气,121.350101,39.122022,121.329614,39.121251,1583402487,1583402488,1583402626,1583405367,1583403748,edf0cf2b3abf4d3f51a7e8fe6a777c4b,5b5d88a517ffaf6d1c626a4f740f1462
100023698,3,2100076419280864846,正常天气,121.350101,39.122022,121.316304,39.131501,1583402673,1583402674,1583402686,1583405913,1583403934,7d52353df44369441884b51be2237788,5b5d88a517ffaf6d1c626a4f740f1462
100023698,3,2100076423267124793,正常天气,121.353243,39.122024,121.329084,39.121571,1583403139,1583403145,1583403284,1583405539,1583404405,081b9d4bcd5406184a76dd8b77371ab4,5f7a39d0f5f5b16714703a169b9780db
100069773,3,2100076411202242209,正常天气,121.556844,39.178741,121.546784,39.175411,1583397740,1583398327,1583402514,1583405100,1583399827,e2c5f29b1ed4fdffd9837e3492e7d7a3,4f0c5ad2934f0b4c88a8cec1d22d0e2c
100069773,3,2100076414605657273,正常天气,121.558245,39.173984,121.553194,39.180911,1583400306,1583400308,1583400355,1583402406,1583401208,11d867796d85db8cad5280ac44cec7c1,f776e79bfef1e964eb2022fb0b11aba0
100069773,3,2100076416763692821,正常天气,121.555897,39.17659,121.552024,39.177221,1583400804,1583400805,1583400835,1583402604,1583401405,f46a399b7d4ae4925a2706d70d470b26,a537f544d3c6366ff0adc39fdb55d7df
100069773,3,2100076418505016993,正常天气,121.556844,39.178741,121.544154,39.182661,1583401089,1583401660,1583401676,1583410089,1583402889,c6ada40342eb117dfc13fc09de376a1d,4f0c5ad2934f0b4c88a8cec1d22d0e2c
100069773,3,2100076417319077537,正常天气,121.556844,39.178741,121.549704,39.181401,1583401359,1583401944,1583401975,1583410359,1583403159,54a943fb064305ba3f13a71877f743a2,4f0c5ad2934f0b4c88a8cec1d22d0e2c
100069773,3,2100076417640236705,正常天气,121.556844,39.178741,121.546934,39.176131,1583401542,1583402131,1583402156,1583410542,1583403342,e2c5f29b1ed4fdffd9837e3492e7d7a3,4f0c5ad2934f0b4c88a8cec1d22d0e2c
100069773,3,2100076420783638446,正常天气,121.552546,39.179455,121.550334,39.182471,1583402652,1583402653,1583402695,1583404452,1583403733,54a943fb064305ba3f13a71877f743a2,b2a672c27bca56a5fe5c2ba474913ba7
10007871,1,2100076373044954214,正常天气,121.631101,39.142709,121.632654,39.133341,1583379046,1583379049,1583379077,1583382046,1583380309,0d45c78c73aab7671ac8737a6ddc8209,1ba7b34ac3c5c4937376b4897ecd9f4d
10007871,1,2100076374107980931,正常天气,121.630842,39.142712,121.629864,39.131581,1583379287,1583379287,1583379316,1583381627,1583380007,4cac531a41f3122ea51c81ba068d248e,dd203cf718de26854861bf4ce252b1a7
10007871,1,2100076378022315032,正常天气,121.630842,39.142712,121.618854,39.135701,1583380090,1583380397,1583380457,1583383390,1583381890,f03bbd440cf9e06230a7f8212ef464f9,02b4599fce0d156ce1850515572f74ba
10007871,1,2100076377024988291,正常天气,121.630842,39.142712,121.618024,39.139661,1583380166,1583380167,1583380278,1583382806,1583380887,f47748f9845310f6c06a51efb26e5009,dd203cf718de26854861bf4ce252b1a7
10007871,1,2100076377947145347,正常天气,121.630842,39.142712,121.618024,39.139661,1583380190,1583380191,1583380279,1583382770,1583380911,f47748f9845310f6c06a51efb26e5009,dd203cf718de26854861bf4ce252b1a7
10007871,1,2100076381473212089,正常天气,121.631557,39.142162,121.615944,39.131371,1583380731,1583380732,1583380759,1583384332,1583381992,283a22e42f3365c8f4f52cff9edabb5a,9b153efe84ce5c0aeee55a45f1701829
100084429,1,2100076393915844144,正常天气,121.29398,38.939824,121.284894,38.942781,1583386252,1583386841,1583389374,1583391600,1583388341,f8bdbaebd77a8f1765428bc60caddfc5,a13f768c61812d3193baa23c06b647bc
100084429,1,2100076394963535667,正常天气,121.28367,38.940254,121.294854,38.938191,1583388213,1583388215,1583388234,1583390013,1583389295,fc4aaf70ede40f272bee0b7379310d57,3ffcb3b457cfd62dd11ec85683f0c037
100084429,1,2100076397163611158,正常天气,121.283001,38.940523,121.293984,38.939851,1583388810,1583388814,1583388834,1583390610,1583389354,fc4aaf70ede40f272bee0b7379310d57,6115d55cab85db555f2c2f0508668809
10012191,1,2100076349786654683,正常天气,121.529656,39.204541,121.530674,39.205041,1583337819,1583337820,1583375870,1583378100,1583374895,ed8a5aff1160b024d070f7925d348732,751f389307964175e191de02094d96af
10012191,1,2100076357300455113,正常天气,121.533824,39.206188,121.499484,39.200941,1583372861,1583372862,1583376770,1583379900,1583374362,4bdeb6c33c365e35151d7f9917883fe5,98977d4d52e6ae02073ecef8200aafbe
10012191,1,2100076361797666487,正常天气,121.53638,39.198548,121.529814,39.205131,1583375821,1583375823,1583375870,1583377861,1583376723,be3461f1e9240ebf9d15811c43594736,c275f3962acdb518bdc21370ec3db212
10012191,1,2100076360564016823,正常天气,121.53638,39.198548,121.529814,39.205131,1583375846,1583375848,1583375870,1583377946,1583376928,be3461f1e9240ebf9d15811c43594736,c275f3962acdb518bdc21370ec3db212
10012191,1,2100076366518649950,正常天气,121.531803,39.205959,121.525854,39.204701,1583377435,1583377441,1583377491,1583379415,1583378401,c74b9e401a2b4c13133179d792013565,d1f688214aad8ce19e26502f40ea75be
10012191,5,2100076399540307362,正常天气,121.524069,39.201243,121.526844,39.203241,1583391377,1583391380,1583391409,1583394077,1583393180,a32dc022b6f1b1fc57f5da2a808acd97,d107f9da1c66ed0ee9bcc2ce6d1c0694
10012191,5,2100076401194272249,正常天气,121.529838,39.203988,121.509594,39.190001,1583392469,1583392470,1583392492,1583396070,1583393550,e0d2c7f5847daf745c29c682517a22e1,3826e533e8b2712493b065980564d1b4
10012191,5,2100076402430051833,正常天气,121.529838,39.203988,121.522034,39.191351,1583392469,1583392470,1583392491,1583396070,1583393550,9981fcbf631705ba6da05b47887dcab6,3826e533e8b2712493b065980564d1b4
10012191,5,2100076401194796537,正常天气,121.529838,39.203988,121.516654,39.189311,1583392471,1583392471,1583392490,1583396071,1583393551,6096e577399a62b75298c5626b6b4109,3826e533e8b2712493b065980564d1b4
10012191,5,2100076401477879289,正常天气,121.529838,39.203988,121.525364,39.189801,1583392471,1583392472,1583392491,1583396072,1583393552,300d1539c3b6aa1793b5678b857732cf,3826e533e8b2712493b065980564d1b4
10012191,7,2100076412304393581,正常天气,121.530186,39.199073,121.531764,39.207541,1583398903,1583399498,1583401790,1583404200,1583400998,ab7d01278c5497397a13b94b4bd7b1f7,e9733f1296cab36e0321c0e565e314db
10012191,7,2100076416758613144,正常天气,121.523875,39.190154,121.527614,39.207601,1583400486,1583400793,1583400830,1583403366,1583401813,8965f76632d7672e7d3cf29c87ecaa0c,a2d9a9e3f7c28d66e0f651b5e62ec139
10012191,7,2100076414721197081,正常天气,121.533896,39.194629,121.534224,39.210591,1583400608,1583400619,1583400710,1583403428,1583401879,13957c91a15c41a1ddeadc0fafdc659b,0d1a0523148c54f43709749c60bbd84f
10012191,7,2100076421306058088,正常天气,121.533408,39.206136,121.519524,39.209151,1583402616,1583402617,1583402630,1583405100,1583404117,508eb0c25d2cd00d1a1e78a492ead6e4,59063c605c48717133c451a4cddd0ef1
10012191,7,2100076420841636958,正常天气,121.531803,39.205959,121.531804,39.207561,1583402917,1583402920,1583402931,1583404897,1583404000,ab7d01278c5497397a13b94b4bd7b1f7,d1f688214aad8ce19e26502f40ea75be
10012191,7,2100076421387093956,正常天气,121.533992,39.205992,121.528124,39.212821,1583403161,1583403166,1583403351,1583405681,1583404186,04115ec378e476c56d19d827bcf8db56,c09554f1829310bcc0215b9541389ef2
100122337,1,2100076373515011970,正常天气,121.581243,39.211355,121.580654,39.216731,1583378803,1583378807,1583378832,1583382283,1583379887,0fe1df1a973d35ec89a7882a234b275e,12d44099a69c59faa1cfdcdec7f60aa6
100122337,1,2100076372931774174,正常天气,121.581908,39.210699,121.587914,39.226241,1583378804,1583378807,1583378831,1583381924,1583379707,3b171a2ca9cf50c6a5ea2e8a6241e60f,3d8f3965d07b90cf1433504dfac308d1
100122337,1,2100076372626278301,正常天气,121.581789,39.210604,121.585894,39.217801,1583378886,1583378889,1583378952,1583382006,1583380329,2d0da190f8a09bd385ba8ada79f857fb,d8b87a621f91ac0f87b4ed310472e8ed
100122337,1,2100076375513696103,正常天气,121.581134,39.211031,121.581634,39.240161,1583379368,1583379368,1583379442,1583382968,1583380268,508c4ace416f57d3b6cc13fb70f1560d,ba3871ddc664163195a8192492643f94
100122337,1,2100076375169468375,正常天气,121.578757,39.214601,121.584394,39.236961,1583379510,1583379511,1583379558,1583383290,1583380471,0bb446e509a0c68c867f740705e4d88e,4081d870335ce280d42312f5a8bf3796
